season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence
2021,BUF,00-0031787,Jake Kumerow,WR,WR,0,0,0,0,0,0,2,28,0,6,0.0,0.0,-1.3694363178364002,-1.3694363178364002,0.5305636821636,Jake Kumerow,WR,0.92,0.92,0.92,,True,False,WR,False,low_sample,contract_matched,low
2021,BUF,00-0033308,Matt Breida,RB,RB,0,0,0,0,125,1,7,72,2,9,0.0,-8.595833289611619,5.8264256149413995,-2.7694076746702194,17.830592325329782,Matt Breida,RB,0.915,1.055,0.99,0.1,True,False,RB,False,low_sample,contract_matched,low
2021,BUF,00-0033466,Isaiah McKenzie,WR,WR,0,0,0,0,47,1,20,178,1,26,0.0,1.9475375540496316,16.954948930360842,18.902486484410474,41.152486484410474,Isaiah McKenzie,WR,0.9875,1.1275,0.99,0.2125,True,False,WR,False,low_sample,contract_matched,low
2021,BUF,00-0033550,Davis Webb,QB,QB,0,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.15000000000000002,Davis Webb,QB,0.241644,0.241644,0.1656,,True,False,QB,False,low_sample,contract_matched,low
2021,BUF,00-0033869,Mitchell Trubisky,QB,QB,43,0,1,0,24,1,0,0,0,0,-1.6611338711809367,-3.8544540730363224,0.0,-5.515587944217259,-2.885587944217259,Mitchell Trubisky,QB,2.5,2.5,2.0,1.5,True,False,QB,False,low_sample,contract_matched,low
2021,BUF,00-0034857,Josh Allen,QB,QB,4407,36,15,26,763,6,0,0,0,0,79.99285779358213,55.64671763407837,1.053,136.6925754276605,272.4125754276605,Josh Allen,QB,10.202337,20.0,0.92,3.538595,True,False,QB,True,normal_sample,contract_matched,high
2021,BUF,00-0035250,Devin Singletary,RB,RB,0,0,0,0,870,7,40,228,1,50,0.0,-3.8201483953744173,-2.309366936673504,-6.129515332047921,82.77048466795208,Devin Singletary,RB,1.108956,0.85,0.85,0.0,True,False,RB,True,normal_sample,contract_matched,high
2021,BUF,00-0035308,Tommy Sweeney,TE,TE,0,0,0,0,0,0,9,44,1,12,0.0,0.0,-3.790205474360846,-3.790205474360846,3.659794525639154,Tommy Sweeney,TE,0.874138,0.85,0.85,,True,False,TE,False,low_sample,contract_matched,low
2021,BUF,00-0035689,Dawson Knox,TE,TE,0,0,0,0,4,0,49,587,9,71,1.053,0.0,33.19093861678055,34.24393861678055,103.04393861678055,Dawson Knox,TE,1.085545,0.88,0.85,0.0,True,False,TE,True,normal_sample,contract_matched,high
2021,BUF,00-0036196,Gabe Davis,WR,WR,0,0,0,0,0,0,35,549,6,63,0.0,0.0,20.69838585724808,20.69838585724808,74.89838585724809,Gabriel Davis,WR,0.954843,0.78,0.78,0.0,True,False,WR,True,normal_sample,contract_matched,high
2021,BUF,00-0036251,Zack Moss,RB,RB,0,0,0,0,345,4,23,197,1,32,0.0,-9.730604019184575,-2.7341552287912223,-12.464759247975797,35.3852407520242,Zack Moss,RB,1.048256,0.819651,0.789651,0.0,True,False,RB,True,normal_sample,contract_matched,high
2021,BUF,00-0036571,Marquez Stevenson,WR,WR,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Marquez Stevenson,WR,0.553413,0.682818,0.66,,True,False,WR,False,low_sample,contract_matched,low
2021,CAR,00-0027939,Cam Newton,QB,QB,684,4,5,10,230,5,0,0,0,0,-39.72842059471429,1.7646606686613522,0.0,-37.96375992605294,-9.12375992605294,Cam Newton,QB,6.0,6.0,2.25,2.25,True,False,QB,False,low_sample,contract_matched,low
2021,CAR,00-0030663,Willie Snead,WR,WR,0,0,0,0,0,0,1,6,0,3,0.0,0.0,-5.154941949527711,-5.154941949527711,-4.604941949527711,Willie Snead,WR,0.236,0.236,0.252,0.0,True,False,WR,False,low_sample,contract_matched,low
2021,CAR,00-0032104,Ameer Abdullah,RB,RB,0,0,0,0,136,0,35,272,1,49,0.0,-9.849366254712908,-6.634700584049719,-16.48406683876263,15.665933161237373,Ameer Abdullah,RB,0.566667,0.66,0.99,0.0,True,False,RB,True,normal_sample,contract_matched,high
2021,CAR,00-0032543,Alex Erickson,WR,WR,0,0,0,0,0,0,3,55,0,4,0.0,0.0,1.9176059016608633,1.9176059016608633,5.417605901660863,Alex Erickson,WR,0.802778,0.935,0.99,,True,False,WR,False,low_sample,contract_matched,low
2021,CAR,00-0032688,Robbie Chosen,WR,WR,0,0,0,0,36,0,53,519,5,110,0.0,2.224925854592584,-28.59433002285859,-26.369404168266005,29.630595831734,Robbie Chosen,WR,8.826666,12.5,0.99,0.99,True,False,WR,True,normal_sample,contract_matched,high
2021,CAR,00-0033275,PJ Walker,QB,QB,362,1,3,7,13,0,0,0,0,0,-14.449125904082484,-5.5915096219978295,0.0,-20.040635526080315,-21.520635526080316,Phillip Walker,QB,0.88,0.805,0.78,,True,False,QB,False,low_sample,contract_matched,low
2021,CAR,00-0033280,Christian McCaffrey,RB,RB,0,0,0,0,442,1,37,343,1,41,0.0,1.7780662637261173,21.083400368283037,22.861466632009154,77.36146663200915,Christian McCaffrey,RB,6.8995,8.2375,0.99,0.99,True,False,RB,True,normal_sample,contract_matched,high
2021,CAR,00-0033720,Colin Thompson,TE,TE,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-1.7403798354789615,-1.7403798354789615,-1.7403798354789615,Colin Thompson,TE,0.070933,0.070933,0.1656,,True,False,TE,False,low_sample,contract_matched,low
2021,CAR,00-0034011,Dan Arnold,TE,TE,0,0,0,0,0,0,7,84,0,11,0.0,0.0,2.187859150551958,2.187859150551958,8.137859150551957,,,,,,,False,True,TE,False,low_sample,missing_contract,low
2021,CAR,00-0034052,Brandon Zylstra,WR,WR,0,0,0,0,0,0,18,250,1,25,-1.3167127471533604,0.0,9.140306190529373,7.823593443376012,27.823593443376012,Brandon Zylstra,WR,0.92,0.92,0.92,,True,False,WR,False,low_sample,contract_matched,low
2021,CAR,00-0034317,Keith Kirkwood,WR,WR,0,0,0,0,0,0,3,17,0,7,0.0,0.0,-0.8913638396188617,-0.8913638396188617,0.7086361603811384,Keith Kirkwood,WR,0.233866,0.233866,0.1656,,True,False,WR,False,low_sample,contract_matched,low
2021,CAR,00-0034365,Ian Thomas,TE,TE,0,0,0,0,0,0,18,188,0,30,0.0,0.0,-15.779598595749121,-15.779598595749121,-1.8795985957491208,Ian Thomas,TE,2.369998,2.183,2.183,0.0,True,False,TE,False,low_sample,contract_matched,low
2021,CAR,00-0034578,Reggie Bonnafon,RB,RB,0,0,0,0,4,0,2,12,0,2,0.0,-0.20132634870242327,0.7519009820534848,0.5505746333510615,1.8505746333510615,Reggie Bonnafon,RB,0.212799,0.212799,0.1656,,True,False,RB,False,low_sample,contract_matched,low
2021,CAR,00-0034827,DJ Moore,WR,WR,0,0,0,0,48,0,93,1157,4,163,0.0,7.407705761317629,9.491507973460937,16.899213734778566,112.39921373477857,D.J. Moore,WR,3.554509,2.003361,2.003361,1.702856,True,False,WR,True,normal_sample,contract_matched,high
2021,CAR,00-0034838,Royce Freeman,RB,RB,0,0,0,0,77,0,3,15,0,6,0.0,1.2012833034057997,-2.4768580070346844,-1.2755747036288847,4.074425296371116,,,,,,,False,True,RB,False,low_sample,missing_contract,low
2021,CAR,00-0034869,Sam Darnold,QB,QB,2527,9,13,35,222,5,0,0,0,0,-76.71357971897748,3.878886218132827,0.0,-72.83469350084465,-38.21469350084465,Sam Darnold,QB,4.774685,4.774685,0.92,4.604685,True,False,QB,True,normal_sample,contract_matched,high
2021,CAR,00-0035838,Matt Cole,WR,WR,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,WR,False,low_sample,missing_contract,low
2021,CAR,00-0035956,Giovanni Ricci,TE,TE,0,0,0,0,0,0,0,0,0,2,0.0,0.0,-0.9652951182797551,-0.9652951182797551,-0.9652951182797551,Giovanni Ricci,FB,0.66,0.66,0.66,,True,False,TE,False,low_sample,contract_matched,low
2021,CAR,00-0035957,Rodney Smith,RB,RB,0,0,0,0,0,0,5,48,0,5,0.0,0.0,2.8780167452641763,2.8780167452641763,6.528016745264177,,,,,,,False,True,RB,False,low_sample,missing_contract,low
2021,CAR,00-0036438,Stephen Sullivan,TE,TE,0,0,0,0,0,0,0,0,0,1,0.0,0.0,-0.37562500091735274,-0.37562500091735274,-0.37562500091735274,Stephen Sullivan,TE,0.036667,0.036667,0.66,,True,False,TE,False,low_sample,contract_matched,low
2021,CAR,00-0036555,Chuba Hubbard,RB,RB,0,0,0,0,612,5,25,174,1,37,0.0,-23.95744014318916,-10.226984497699739,-34.1844246408889,29.365575359111105,Chuba Hubbard,RB,0.838293,1.373172,0.66,0.0,True,False,RB,True,normal_sample,contract_matched,high
