season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2022,DET,00-0032464,Kalif Raymond,WR,WR,0,0,0,0,36,0,47,616,0,64,0.0,2.2991403104388155,21.02153123925591,23.320671549694726,67.67067154969473,Kalif Raymond,WR,1.975,2.6,1.3,1.3,True,False,WR,True,normal_sample,contract_matched,high,52.0,62.0,10.0,37.5,Strong bargain
2022,DET,00-0033943,Josh Reynolds,WR,WR,0,0,0,0,0,0,38,479,3,59,0.0,0.0,11.604702909754556,11.604702909754556,54.05470290975456,Josh Reynolds,WR,2.0,3.0,1.2,1.2,True,False,WR,True,normal_sample,contract_matched,high,70.0,60.5,-9.5,65.0,Negative value
2022,DET,00-0034777,DJ Chark,WR,WR,0,0,0,0,0,0,30,502,3,52,0.0,0.0,21.15313317053699,21.15313317053699,62.75313317053699,D.J. Chark,WR,4.023333,10.0,1.035,1.035,True,False,WR,True,normal_sample,contract_matched,high,57.0,40.0,-17.0,71.0,Major overpay
2022,NYG,00-0035710,Daniel Jones,QB,QB,3205,15,5,44,708,7,0,0,0,0,21.108247770812454,39.27639706202617,0.0,60.384644832838624,157.83464483283862,Daniel Jones,QB,8.365836,4.194644,0.965,3.994644,True,False,QB,True,normal_sample,contract_matched,high,7.0,20.0,13.0,7.0,Strong bargain
2022,NYG,00-0034844,Saquon Barkley,RB,RB,0,0,0,0,1312,10,57,338,0,76,0.0,-15.51116913972907,-12.5992434311378,-28.11041257086687,98.63958742913314,Saquon Barkley,RB,7.217,7.217,7.217,7.217,True,False,RB,True,normal_sample,contract_matched,high,10.0,5.0,-5.0,44.0,Negative value
2022,NYG,00-0035535,Darius Slayton,WR,WR,0,0,0,0,0,0,46,724,2,71,0.0,0.0,35.254165374586414,35.254165374586414,88.95416537458641,Darius Slayton,WR,1.023721,0.965,0.965,0.0,True,False,WR,True,normal_sample,contract_matched,high,38.0,82.0,44.0,7.0,Major bargain
2022,NYG,00-0034286,Richie James,WR,WR,0,0,0,0,6,0,57,569,4,70,0.0,-0.5533195314928889,24.49580530790889,23.942485776416,78.942485776416,Richie James,WR,1.065,1.065,0.965,0.0,True,False,WR,True,normal_sample,contract_matched,high,45.0,78.0,33.0,14.0,Major bargain
2022,NYG,00-0036165,Isaiah Hodgins,WR,WR,0,0,0,0,0,0,33,351,4,42,0.0,0.0,10.215517303136092,10.215517303136092,48.01551730313609,Isaiah Hodgins,WR,0.391667,0.391667,0.705,,True,False,WR,True,normal_sample,contract_matched,high,74.0,99.0,25.0,20.0,Major bargain
2022,PHI,00-0036389,Jalen Hurts,QB,QB,3701,22,6,38,760,13,0,0,0,0,71.2700870482575,49.743342914217926,0.0,121.01342996247541,257.5234299624754,Jalen Hurts,QB,1.64323,1.157744,1.082744,0.0,True,False,QB,True,normal_sample,contract_matched,high,3.0,36.0,33.0,1.0,Major bargain
2022,PHI,00-0035243,Miles Sanders,RB,RB,0,0,0,0,1269,11,20,78,0,26,0.0,12.698613178494387,-11.284990536165424,1.4136226423289635,106.76362264232897,Miles Sanders,RB,1.705528,1.225941,1.225941,0.0,True,False,RB,True,normal_sample,contract_matched,high,8.0,30.0,22.0,7.0,Major bargain
2022,PHI,00-0034351,Dallas Goedert,TE,TE,0,0,0,0,0,0,55,702,3,69,0.0,0.0,45.187987072817165,45.187987072817165,103.03798707281717,Dallas Goedert,TE,3.721732,4.25,1.035,1.035,True,False,TE,True,normal_sample,contract_matched,high,5.0,14.0,9.0,10.0,Positive value
2022,PHI,00-0036912,DeVonta Smith,WR,WR,0,0,0,0,0,0,95,1196,7,136,0.0,0.0,59.69536659034412,59.69536659034412,164.24536659034413,DeVonta Smith,WR,4.577589,1.575518,0.825,1.575518,True,False,WR,True,normal_sample,contract_matched,high,9.0,35.0,26.0,19.0,Major bargain
2022,PHI,00-0035676,A.J. Brown,WR,WR,0,0,0,0,0,0,88,1496,11,145,0.0,0.0,55.87002713848922,55.87002713848922,185.67002713848922,A.J. Brown,WR,5.680894,24.220471,0.986,0.986,True,False,WR,True,normal_sample,contract_matched,high,5.0,28.0,23.0,24.5,Major bargain
2022,PHI,00-0036271,Quez Watkins,WR,WR,0,0,0,0,1,0,33,354,3,51,0.0,-2.6935721475883967,-12.772953875300066,-15.466526022888463,19.533473977111537,Quez Watkins,WR,0.937415,0.895,0.895,,True,False,WR,True,normal_sample,contract_matched,high,94.0,89.0,-5.0,61.0,Negative value
2023,BAL,00-0034796,Lamar Jackson,QB,QB,3678,24,7,37,821,5,0,0,0,0,59.07158835000632,10.159688361549266,0.0,69.2312767115556,186.8112767115556,Lamar Jackson,QB,22.15,80.0,7.5,7.5,True,False,QB,True,normal_sample,contract_matched,high,5.0,5.0,0.0,20.5,Fair value
2023,BAL,00-0038454,Keaton Mitchell,RB,RB,0,0,0,0,396,2,9,93,0,11,0.0,17.40301456837915,2.5917365161389103,19.994751084518057,52.69475108451805,Keaton Mitchell,RB,0.622667,0.634667,0.75,0.055,True,False,RB,True,normal_sample,contract_matched,high,31.0,60.0,29.0,5.5,Major bargain
2023,BAL,00-0034184,Gus Edwards,RB,RB,0,0,0,0,810,13,12,180,0,13,0.0,-11.775958436328319,9.551620966289192,-2.224337470039126,89.27566252996087,Gus Edwards,RB,2.794,4.484,1.084,1.084,True,False,RB,True,normal_sample,contract_matched,high,17.0,21.0,4.0,23.0,Positive value
2023,BAL,00-0034975,Justice Hill,RB,RB,0,0,0,0,387,3,28,206,1,39,0.0,0.8103901900690555,-4.725817573838867,-3.9154273837698117,44.734572616230196,Justice Hill,RB,1.51,2.01,1.01,0.25,True,False,RB,True,normal_sample,contract_matched,high,38.0,32.0,-6.0,37.0,Negative value
2023,BAL,00-0037838,Isaiah Likely,TE,TE,0,0,0,0,0,0,30,411,5,40,0.0,0.0,32.19419939463758,32.19419939463758,75.24419939463758,Isaiah Likely,TE,0.996084,0.87,0.87,0.0,True,False,TE,True,normal_sample,contract_matched,high,12.0,35.5,23.5,2.0,Major bargain
2023,BAL,00-0034753,Mark Andrews,TE,TE,0,0,0,0,0,0,45,544,6,61,0.0,-1.5892667324158904,33.181763841275824,31.592497108859934,88.04249710885993,Mark Andrews,TE,13.657611,7.5,7.5,7.5,True,False,TE,True,normal_sample,contract_matched,high,8.0,3.0,-5.0,26.0,Negative value
