season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2022,ARI,1487,-133.25947468200096,-0.0901620261718545,0.3917456021650879,1401,-2.0749551534282853,-0.0014895586169621,30.0,21.0,51.0,31.0,181.055147,213.976985,127.081766,60.179421,84,15.0,18.0,2.0,18.0,-16.0,Major underperformance,31.0
2022,IND,1427,-198.97484109988991,-0.1404197890613196,0.4029640084685956,1414,-47.64923320698687,-0.0338658373894718,32.0,10.0,42.0,24.0,190.49929,211.888058,131.580856,99.812075,80,7.0,22.0,9.0,26.0,-17.0,Major underperformance,32.0
2023,SF,1340,162.12468423534412,0.1220818405386627,0.4947289156626506,1356,-61.47831556691191,-0.0455057850236209,1.0,12.0,13.0,3.0,165.975853,258.27591,80.771601,28.398753,81,28.0,6.0,30.0,5.0,25.0,Strong surplus value,1.0
2023,LA,1426,-2.2626070044278053,-0.0015956325842227,0.4301833568406206,1416,-34.102601438656535,-0.0242378119677729,10.0,20.0,30.0,12.0,137.84187699999998,168.139896,76.164032,31.100833,74,32.0,32.0,21.0,1.0,20.0,Strong surplus value,2.0
2023,GB,1368,40.06618789351222,0.0294387861083851,0.4349742836149889,1382,-2.6415815822074435,-0.0019253510074398,7.0,24.0,31.0,14.0,151.91975499999998,204.61504,66.761237,9.92295,77,30.0,23.0,19.0,3.0,16.0,Strong surplus value,3.0
2023,NO,1448,-64.74412587732965,-0.0449611985259233,0.4069444444444444,1400,-152.30439408852448,-0.1094927347868616,19.0,3.0,22.0,6.0,185.424233,256.549901,71.939593,32.629005,78,18.0,8.0,27.0,15.0,12.0,Strong surplus value,4.0
2023,LV,1311,-100.60093357771174,-0.0770888379905837,0.4045977011494253,1400,-93.48471574767632,-0.0673036110494429,25.0,7.0,32.0,15.0,167.836736,198.858739,114.153835,76.846796,77,26.0,28.0,18.0,7.0,11.0,Strong surplus value,5.5
2023,TB,1384,-26.366234852043274,-0.0191893994556355,0.395924308588064,1386,-55.404517408962086,-0.0401773150173764,13.0,14.0,27.0,9.0,178.04747,202.256597,85.289644,33.073406,74,20.0,25.0,24.0,13.0,11.0,Strong surplus value,5.5
2023,HOU,1424,-27.341870330199733,-0.0192956036204655,0.4121383203952011,1423,-52.273785240129214,-0.0369948940128303,14.0,16.0,30.0,12.0,178.251577,250.346254,97.291233,41.988843,90,19.0,12.0,21.0,14.0,7.0,Positive value,7.0
2023,DAL,1443,135.35848478164817,0.0943264702311137,0.4689895470383275,1360,-103.38082810508948,-0.0765217084419611,2.0,5.0,7.0,1.0,202.894935,258.441688,105.564011,54.537187,78,7.0,5.0,32.0,26.0,6.0,Positive value,8.5
