season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,CHI,00-0035685,David Montgomery,RB,RB,0,0,1,0,849,7,42,301,0,51,-3.1767500246642157,-21.6045883598607,5.274761422659272,-19.506576961865644,67.49342303813435,David Montgomery,RB,1.111577,0.850032,0.850032,0.0,RB,27.0,40.0,13.0,19.0,Strong bargain
2021,CHI,00-0036290,Cole Kmet,TE,TE,0,0,0,0,0,0,60,612,0,93,0.0,-0.2222453574941028,-5.914550160515386,-6.136795518009489,39.463204481990516,Cole Kmet,TE,1.722224,0.954445,0.954445,0.954445,TE,27.0,28.0,1.0,15.0,Fair value
2021,CHI,00-0036309,Darnell Mooney,WR,WR,0,0,0,0,32,1,81,1055,4,140,0.0,0.9643581494456157,0.5429042949728007,1.5072624444184164,91.10726244441841,Darnell Mooney,WR,0.850512,0.78,0.78,0.0,WR,42.0,88.0,46.0,11.5,Major bargain
2021,CHI,00-0036906,Khalil Herbert,RB,RB,0,0,0,0,433,2,14,96,0,16,0.0,-2.985199351911433,-0.7655202172282789,-3.750719569139712,32.19928043086029,Khalil Herbert,RB,0.692676,0.790704,0.66,0.0,RB,58.0,62.0,4.0,34.0,Positive value
2021,CHI,00-0036945,Justin Fields,QB,QB,1870,7,10,36,420,2,0,0,0,0,-64.92877211484534,6.727855220108761,0.0,-58.20091689473658,-27.500916894736577,Justin Fields,QB,3.431264,11.745056,0.66,0.66,QB,34.0,28.0,-6.0,23.0,Negative value
2021,CIN,00-0032134,C.J. Uzomah,TE,TE,0,0,0,0,0,0,49,493,5,63,0.0,0.0,19.42378815087177,19.42378815087177,71.32378815087176,C.J. Uzomah,TE,6.158334,5.25,4.75,0.0,TE,13.0,5.0,-8.0,30.0,Negative value
2021,CIN,00-0033009,Tyler Boyd,WR,WR,46,0,0,0,22,0,67,828,5,94,3.1924436271365266,1.3555669034831226,19.29710014353026,23.845110674149907,98.55511067414992,Tyler Boyd,WR,9.85,8.45,8.0,0.0,WR,37.0,12.0,-25.0,80.5,Major overpay
2021,CIN,00-0033526,Samaje Perine,RB,RB,0,0,0,0,246,1,27,196,1,31,0.0,-6.755318701545761,6.5990928642650015,-0.15622583728075945,34.69377416271924,Samaje Perine,RB,1.45,1.8,1.1,0.0,RB,57.0,36.0,-21.0,58.5,Major overpay
2021,CIN,00-0033897,Joe Mixon,RB,RB,0,0,0,0,1205,13,42,314,3,48,0.0,-25.4333107376832,8.68478629522724,-16.74852444245596,117.70147555754404,Joe Mixon,RB,8.420588,8.670588,5.0,0.0,RB,6.0,4.0,-2.0,38.0,Fair value
2021,CIN,00-0036410,Tee Higgins,WR,WR,0,0,0,0,0,0,74,1091,6,110,0.0,0.0,58.078179474621535,58.078179474621535,149.12817947462153,Tee Higgins,WR,1.97427,1.004854,1.004854,1.004854,WR,11.0,57.0,46.0,11.5,Major bargain
2021,CIN,00-0036442,Joe Burrow,QB,QB,4611,34,14,51,118,2,0,0,0,0,99.65101362233649,3.470520692237187,0.0,103.12153431457368,188.38153431457368,Joe Burrow,QB,8.225035,2.255006,0.78,2.255006,QB,7.0,17.0,10.0,10.0,Strong bargain
2021,CIN,00-0036900,Ja'Marr Chase,WR,WR,0,0,0,0,21,0,81,1455,13,128,0.0,-2.2270732577890158,65.33957198970779,63.11249873191878,196.1624987319188,Ja'Marr Chase,WR,5.603571,20.434284,0.66,0.66,WR,5.0,23.0,18.0,35.0,Strong bargain
2021,CLE,00-0031382,Jarvis Landry,WR,WR,0,0,0,1,40,2,52,570,2,87,-4.688111118914094,5.013085333448405,-13.1820960384178,-12.857121823883489,42.39287817611651,Jarvis Landry,WR,14.711765,13.029412,12.5,0.0,WR,84.0,8.0,-76.0,102.0,Major overpay
2021,CLE,00-0032392,Austin Hooper,TE,TE,0,0,0,0,0,0,38,345,3,61,0.0,0.0,20.021503306744226,20.021503306744226,55.77150330674422,Austin Hooper,TE,8.25,11.5,4.5,4.5,TE,22.0,1.0,-21.0,35.0,Major overpay
2021,CLE,00-0032977,Rashard Higgins,WR,WR,0,0,0,0,0,0,24,275,1,47,0.0,0.0,5.273095316000005,5.273095316000005,28.023095316000006,Rashard Higgins,WR,1.1275,2.3775,2.24,2.24,WR,97.0,71.0,-26.0,82.5,Major overpay
2021,CLE,00-0033885,David Njoku,TE,TE,0,0,0,0,1,0,36,475,4,53,0.0,-0.5057117864489555,21.50712458865616,21.001412802207206,65.80141280220721,David Njoku,TE,6.013,6.013,6.013,6.013,TE,14.0,6.5,-7.5,29.0,Negative value
2021,CLE,00-0033923,Kareem Hunt,RB,RB,0,0,0,0,386,5,22,174,0,27,0.0,6.589269161013421,2.827636903235966,9.416906064249387,57.91690606424939,Kareem Hunt,RB,5.0,5.0,1.3,2.8,RB,34.0,9.5,-24.5,61.0,Major overpay
2021,CLE,00-0034791,Nick Chubb,RB,RB,0,0,0,0,1259,8,20,174,1,25,0.0,10.630183949570217,8.125115893781185,18.755299843351402,122.40529984335141,Nick Chubb,RB,4.782381,12.92,0.92,0.92,RB,4.0,12.0,8.0,24.5,Positive value
2021,CLE,00-0034855,Baker Mayfield,QB,QB,3010,17,13,43,134,1,0,11,0,0,-5.397413046271426,6.111318557494082,0.0,0.7139055112226558,38.31390551122266,Baker Mayfield,QB,10.56913,5.10677,0.92,4.93677,QB,24.0,13.0,-11.0,30.5,Major overpay
2021,CLE,00-0035628,D'Ernest Johnson,RB,RB,0,0,0,0,534,3,19,137,0,25,0.0,6.4351156105985865,0.7006596530263778,7.135775263624964,54.43577526362497,D'Ernest Johnson,RB,0.85,0.85,0.85,0.0,RB,38.0,53.0,15.0,16.5,Strong bargain
2021,CLE,00-0036233,Donovan Peoples-Jones,WR,WR,0,0,0,0,0,0,34,597,3,58,0.0,0.0,25.022869365793994,25.022869365793994,72.372869365794,Donovan Peoples-Jones,WR,0.826652,0.78,0.78,0.0,WR,55.0,96.0,41.0,18.0,Major bargain
2021,DAL,00-0031544,Amari Cooper,WR,WR,0,0,0,0,0,0,68,865,8,104,0.0,0.0,48.26934522552408,48.26934522552408,132.5193452255241,Amari Cooper,WR,22.0,20.0,20.0,20.0,WR,19.0,1.0,-18.0,75.5,Major overpay
2021,DAL,00-0033045,Ezekiel Elliott,RB,RB,4,0,0,0,1002,10,47,287,2,65,-0.7931139783468097,-16.109372480869364,-1.123335064971256,-18.02582152418743,94.21417847581256,Ezekiel Elliott,RB,6.82,9.6,1.0,1.0,RB,14.0,6.0,-8.0,43.0,Negative value
2021,DAL,00-0033077,Dak Prescott,QB,QB,4449,37,10,30,146,1,0,0,0,0,108.33346017476651,-23.35592285798046,0.0,84.97753731678606,186.26753731678608,Dak Prescott,QB,17.2,75.0,2.75,2.75,QB,8.0,10.0,2.0,16.0,Fair value
2021,DAL,00-0034383,Dalton Schultz,TE,TE,0,0,0,0,0,0,78,808,8,104,0.0,0.0,46.342083836889714,46.342083836889714,130.24208383688972,Dalton Schultz,TE,2.296089,2.183,2.183,0.0,TE,3.0,25.0,22.0,1.5,Major bargain
