season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2021,Tyler Conklin,MIN,TE,0.990258,65.24053309152892,11.340533091528917,15.0,32.0,17.0,Strong bargain
2025,Harold Fannin Jr.,CLE,TE,1.225979,75.82929365714418,-0.3707063428558292,18.0,34.0,16.0,Strong bargain
2024,Jordan Mason,SF,RB,0.859167,54.93609105202814,-0.8139089479718589,37.0,53.0,16.0,Strong bargain
2022,T.J. Hockenson,MIN,TE,0.536111,56.20297284579084,6.252972845790833,18.0,34.0,16.0,Strong bargain
2022,Khalil Herbert,CHI,RB,0.754899,56.95811823012483,0.3081182301248284,35.0,51.0,16.0,Strong bargain
2022,Trevor Lawrence,JAX,QB,8.362156,176.5541878680687,78.62418786806869,5.0,21.0,16.0,Strong bargain
2022,Chig Okonkwo,TEN,TE,0.831084,60.26169642868668,20.66169642868668,16.0,31.5,15.5,Strong bargain
2021,Rob Gronkowski,TB,TE,3.0,104.56432576561755,32.71432576561756,6.0,21.5,15.5,Strong bargain
2022,Cole Kmet,CHI,TE,2.066669,73.5202807531176,12.370280753117598,8.0,23.0,15.0,Strong bargain
2021,Mac Jones,NE,QB,2.83388,108.13095022079725,52.670950220797245,15.0,30.0,15.0,Strong bargain
2021,Mike Gesicki,MIA,TE,2.103794,81.61856412887369,18.368564128873683,11.0,26.0,15.0,Strong bargain
2024,Sam Darnold,MIN,QB,5.0,137.27387453548712,46.48387453548714,13.0,28.0,15.0,Strong bargain
2024,Cade Otton,TB,TE,1.193485,67.76688210514472,11.216882105144713,16.0,31.0,15.0,Strong bargain
2021,Patrick Mahomes,KC,QB,7.433381,267.55589782933174,153.11589782933171,3.0,18.0,15.0,Strong bargain
2021,Josh Allen,BUF,QB,10.202337,272.4125754276605,136.6925754276605,1.0,15.0,14.0,Strong bargain
2022,Joe Burrow,CIN,QB,9.870037,200.29824740816363,91.94824740816364,4.0,18.0,14.0,Strong bargain
2025,Brenton Strange,JAX,TE,1.667548,78.8647508115372,31.364750811537206,17.0,31.0,14.0,Strong bargain
2022,Dawson Knox,BUF,TE,2.600545,76.31416198347318,20.464161983473176,7.0,21.0,14.0,Strong bargain
2023,C.J. Stroud,HOU,QB,6.596226,152.4024245822528,67.22242458225278,8.0,22.0,14.0,Strong bargain
2022,Tua Tagovailoa,MIA,QB,8.256937,154.9867511890602,87.25675118906018,8.0,22.0,14.0,Strong bargain
2021,Dallas Goedert,PHI,TE,3.687966,120.88343191915098,53.38343191915097,4.0,17.0,13.0,Strong bargain
2024,Mike Gesicki,CIN,TE,2.5,89.26757545628534,33.76757545628534,11.0,24.0,13.0,Strong bargain
2021,Teddy Bridgewater,DEN,QB,4.4155,114.83021028225284,58.760210282252835,14.0,27.0,13.0,Strong bargain
2021,Lamar Jackson,BAL,QB,3.013708,103.62181298235944,33.95181298235944,16.0,29.0,13.0,Strong bargain
2023,T.J. Hockenson,MIN,TE,4.992,118.57288797302311,31.82288797302312,4.0,17.0,13.0,Strong bargain
2022,Daniel Jones,NYG,QB,8.365836,157.83464483283862,60.384644832838624,7.0,20.0,13.0,Strong bargain
2024,Russell Wilson,PIT,QB,1.21,42.81429746662357,-9.50570253337643,24.0,37.0,13.0,Strong bargain
2024,Brock Bowers,LV,TE,3.297961,129.5933291948026,26.24332919480259,5.0,18.0,13.0,Strong bargain
