player,position,is_active,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,player_page,otc_id,gsis_id,date_of_birth,height,weight,college,draft_year,draft_round,draft_overall,draft_team,year,team,base_salary,prorated_bonus,roster_bonus,guaranteed_salary,cap_number,cap_percent,cash_paid,workout_bonus,other_bonus,per_game_roster_bonus,option_bonus,season,team_abbr
Breon Borders,CB,False,2021,2.0,1.955,0.9775,0.0,0.005,3.226553,1.613277,0.0,https://overthecap.com/player/breon-borders/6076/,6076,00-0033435,"July 22, 1995","5'11""",189.0,Duke,2017.0,,,Raiders,2021,Cardinals,0.92,,,,0.204444,0.001,0.204444,,,,,2021,ARI
Budda Baker,S,False,2020,4.0,59.0,14.75,22.1,0.074,89.660949,22.415237,33.584864,https://overthecap.com/player/budda-baker/5622/,5622,00-0033890,,"5'10""",195.0,Washington,2017.0,2.0,36.0,Cardinals,2021,Cardinals,4.0,3.775,0.0,4.0,7.775,0.0409999999999999,11.1,0.0,0.0,0.0,,2021,ARI
Byron Murphy,CB,True,2025,3.0,54.0,18.0,34.78,0.064,58.255014,19.418338,37.520544,https://overthecap.com/player/byron-murphy/7824/,7824,00-0035236,,"5'11""",184.0,Washington,2019.0,2.0,33.0,Cardinals,2021,Cardinals,1.221318,0.957636,,0.949575,2.178954,0.011,1.221318,0.0,0.0,0.0,,2021,ARI
Chandler Jones,ED,False,2017,5.0,82.5,16.5,31.0,0.099,148.796407,29.759281,55.911377,https://overthecap.com/player/chandler-jones/1206/,1206,00-0029585,"February 27, 1990","6'5""",265.0,Syracuse,2012.0,1.0,21.0,Patriots,2021,Cardinals,15.5,4.676388,,0.0,20.176388,0.105,15.5,0.0,0.0,0.0,,2021,ARI
Charles Washington,S,False,2021,1.0,1.1275,1.1275,0.06875,0.006,1.860838,1.860838,0.113466,https://overthecap.com/player/charles-washington/5322/,5322,00-0032560,"March 10, 1993","5'10""",192.0,Fresno State,2016.0,,,Lions,2021,Cardinals,0.99,0.06875,0.06875,,0.9875,0.005,1.1275,,,0.0,,2021,ARI
Chase Edmonds,RB,False,2022,2.0,12.1,6.05,6.1,0.0289999999999999,17.504899,8.75245,8.824784,https://overthecap.com/player/chase-edmonds/7019/,7019,00-0034681,"April 13, 1996","5'9""",210.0,Fordham,2018.0,4.0,134.0,Cardinals,2021,Cardinals,0.92,0.113089,0.0,0.0,1.033089,0.005,0.92,,,,,2021,ARI
Chris Banjo,S,False,2019,3.0,6.9,2.3,2.65,0.012,11.042933,3.680978,4.241126,https://overthecap.com/player/chris-banjo/2172/,2172,00-0029747,"February 26, 1990","5'10""",207.0,SMU,2013.0,,,Jaguars,2021,Cardinals,1.075,0.0,0.0,0.0,0.661111,0.003,0.836111,0.0,,0.0,,2021,ARI
Christian Kirk,WR,False,2022,4.0,72.0,18.0,37.0,0.086,104.161383,26.040346,53.527378,https://overthecap.com/player/christian-kirk/6932/,6932,00-0034775,,"5'11""",200.0,Texas A&M,2018.0,2.0,47.0,Cardinals,2021,Cardinals,2.433,0.591795,0.0,0.0,3.024795,0.016,2.433,0.0,0.0,0.0,,2021,ARI
Colt McCoy,QB,False,2016,3.0,9.0,3.0,1.8,0.019,17.45862,5.81954,3.491724,https://overthecap.com/player/colt-mccoy/271/,271,00-0027688,"September 5, 1986","6'1""",215.0,Texas,2010.0,3.0,85.0,Browns,2021,Cardinals,1.075,0.1375,0.0,0.0,0.9875,0.005,1.2125,,,0.0,,2021,ARI
Corey Peters,IDL,False,2017,3.0,12.0,4.0,3.558823,0.024,21.643114,7.214371,6.418668,https://overthecap.com/player/corey-peters/796/,796,00-0027686,"June 8, 1988","6'3""",300.0,Kentucky,2010.0,3.0,83.0,Falcons,2021,Cardinals,1.075,0.0,0.1375,0.0,0.9875,0.005,1.2125,0.0,0.0,0.0,,2021,ARI
D.J. Humphries,LT,False,2022,3.0,51.0,17.0,28.823529,0.0819999999999999,73.78098,24.59366,41.698592,https://overthecap.com/player/d-j-humphries/3872/,3872,00-0032222,"December 28, 1993","6'5""",295.0,Florida,2015.0,1.0,24.0,Cardinals,2021,Cardinals,15.1,4.33,,15.1,19.93,0.104,15.6,0.0,0.0,0.5,,2021,ARI
Danny Isidora,LG,False,2022,1.0,1.035,1.035,0.0,0.005,1.49732,1.49732,0.0,https://overthecap.com/player/danny-isidora/5766/,5766,00-0033960,"June 5, 1994","6'3""",306.0,Miami,2017.0,5.0,180.0,Vikings,2021,Cardinals,0.252,0.0,,,0.374,0.002,0.374,,,,,2021,ARI
