season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier,draft_year,draft_team,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,surplus_context
2025,GB,00-0038996,Tucker Kraft,TE,TE,0,0,0,0,3,0,32,489,6,44,0.0,-0.6811154326424003,39.123876830533845,38.442761397891445,89.04276139789144,Tucker Kraft,TE,1.510345,1.253448,1.203448,,True,False,TE,True,normal_sample,contract_matched,high,14.0,32.0,18.0,3.0,Strong bargain,2023,GNB,3,78,2,round_3,rookie_contract,True,rookie_contract_surplus
2025,HOU,00-0038618,Xavier Hutchinson,WR,WR,0,0,0,0,22,0,35,428,3,57,0.0,1.7993542412878014,12.88556666651169,14.68492090779949,54.934920907799494,Xavier Hutchinson,WR,1.070925,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,60.0,78.0,18.0,20.5,Strong bargain,2023,HOU,6,205,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,LAC,00-0039391,Kimani Vidal,RB,RB,0,0,0,0,643,3,16,136,1,22,0.0,-14.089054336971488,0.7387209373868431,-13.350333399584644,41.599666600415354,Kimani Vidal,RB,0.693333,0.693333,0.96,,True,False,RB,True,normal_sample,contract_matched,high,43.0,61.0,18.0,9.5,Strong bargain,2024,LAC,6,181,1,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,WAS,00-0038611,Chris Rodriguez Jr.,RB,RB,0,0,0,0,500,6,3,30,0,4,0.0,6.197515768173616,-3.3000503968796693,2.897465371293947,48.14746537129395,Chris Rodriguez Jr.,RB,1.03,1.03,1.03,0.0,True,False,RB,True,normal_sample,contract_matched,high,38.0,55.5,17.5,11.0,Strong bargain,2023,WAS,6,193,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,DET,00-0037240,Jameson Williams,WR,WR,0,0,0,0,12,0,65,1117,7,102,0.0,-1.425711963151116,56.1684345240439,54.74272256089279,148.44272256089278,Jameson Williams,WR,7.42181,17.086154,1.636154,2.086154,True,False,WR,True,normal_sample,contract_matched,high,8.0,25.0,17.0,23.5,Strong bargain,2022,DET,1,12,3,round_1,rookie_contract,True,rookie_contract_surplus
2025,CHI,00-0040126,Colston Loveland,TE,TE,0,0,0,0,-2,0,58,713,6,82,0.0,-0.8725153338164091,47.5060987164436,46.63358338262719,114.68358338262718,Colston Loveland,TE,4.84291,16.85164,0.84,0.84,True,False,TE,True,normal_sample,contract_matched,high,3.0,20.0,17.0,4.0,Strong bargain,2025,CHI,1,10,0,round_1,rookie_contract,True,rookie_contract_surplus
2025,NE,00-0040734,TreVeyon Henderson,RB,RB,0,0,0,0,911,9,35,221,1,42,0.0,8.434334797185944,2.6789682244892425,11.113303021675186,106.4633030216752,TreVeyon Henderson,RB,2.026047,5.584188,0.84,0.84,True,False,RB,True,normal_sample,contract_matched,high,14.0,31.0,17.0,12.0,Strong bargain,2025,NWE,2,38,0,round_2,rookie_contract,True,rookie_contract_surplus
2025,LAC,00-0039915,Ladd McConkey,WR,WR,0,0,0,0,0,0,66,789,6,106,0.0,0.0,7.235227504492887,7.235227504492887,81.18522750449289,Ladd McConkey,WR,2.271633,1.249327,1.249327,1.249327,True,False,WR,True,normal_sample,contract_matched,high,38.0,55.0,17.0,23.5,Strong bargain,2024,LAC,2,34,1,round_2,rookie_contract,True,rookie_contract_surplus
2025,CAR,00-0040124,Tetairoa McMillan,WR,WR,0,0,0,0,0,0,70,1014,7,122,0.0,0.0,25.28509608821285,25.28509608821285,114.48509608821286,Tetairoa McMillan,WR,5.078253,17.793012,0.84,0.84,True,False,WR,True,normal_sample,contract_matched,high,19.0,35.0,16.0,25.0,Strong bargain,2025,CAR,1,8,0,round_1,rookie_contract,True,rookie_contract_surplus
2025,CLE,00-0040663,Harold Fannin Jr.,TE,TE,0,0,0,0,13,1,72,731,6,107,0.0,-1.7708569074748084,1.4001505646189791,-0.3707063428558292,75.82929365714418,Harold Fannin Jr.,TE,1.225979,2.383916,0.84,,True,False,TE,True,normal_sample,contract_matched,high,18.0,34.0,16.0,5.0,Strong bargain,2025,CLE,3,67,0,round_3,rookie_contract,True,rookie_contract_surplus
